,price,sqm_living,room,baths,toilets,balcony,park_space,parkm,garage,loggia,terrace,sqm_lot,garten,lift,erstbezug,new_bld,old_bld,kitchen,alarm,len_explanation,building_age
0,219000,66,3.5,2,2,0,0,0,0,0,0,66.46,0,1,0,0,1,0,0,1434,121.0
1,880000,113,4.0,2,2,0,0,0,0,0,0,113.2,0,1,1,0,1,0,0,5393,132.0
2,569745,85,3.0,1,1,1,0,1,1,0,0,85.0,0,1,0,1,0,1,0,3852,4.0
3,345000,68,3.0,1,1,0,0,0,0,0,1,68.1,1,0,0,0,0,0,0,908,0.0
4,386582,69,3.0,1,1,1,0,0,0,0,1,69.45,0,1,0,0,1,0,0,4150,
5,1430000,133,3.0,2,1,1,0,0,0,0,1,133.34,0,1,0,1,0,1,0,2911,6.0
6,4410000,228,4.0,3,1,0,0,0,0,0,0,228.0,0,1,1,0,0,0,0,1035,
7,1499900,127,4.0,2,3,0,0,0,0,1,1,127.45,0,1,1,1,0,0,0,5036,
8,139800,45,2.0,1,1,0,1,1,0,0,1,45.13,1,0,1,0,0,0,0,5036,0.0
9,1870000,102,2.0,1,1,0,0,1,1,0,0,102.0,0,1,1,0,0,0,0,867,
10,5900000,480,7.0,4,4,0,0,0,0,0,1,480.0,0,1,0,1,0,1,1,2538,
11,4250000,170,3.0,3,1,1,0,0,0,0,0,169.96,0,1,0,0,0,0,0,356,
12,1850000,118,3.0,1,1,0,0,1,1,0,0,118.0,0,1,0,0,0,0,0,930,
13,835100,111,3.0,1,1,1,0,1,1,0,1,110.59,0,1,1,0,0,0,0,843,3.0
14,1095000,83,2.0,1,1,0,0,1,1,0,0,83.0,0,0,0,0,0,0,0,781,
15,1648000,276,6.5,2,4,0,0,0,0,0,1,276.0,0,1,0,1,0,0,1,3190,21.0
16,389900,64,2.0,1,1,0,0,0,0,1,1,64.47,1,1,1,1,0,0,0,4535,
17,2540000,127,3.0,2,1,0,0,1,1,0,0,127.0,0,1,1,0,0,0,0,517,
18,7100000,292,4.0,2,1,0,0,1,0,0,1,292.0,0,1,1,1,0,1,0,735,7.0
19,585000,112,4.0,1,2,0,0,1,1,0,1,111.84,0,1,0,1,0,0,0,2586,16.0
20,819790,98,3.0,1,2,0,1,1,0,0,1,98.45,0,1,0,1,0,0,1,3830,3.0
21,2490000,159,4.0,3,2,0,0,0,0,0,0,159.0,0,1,1,0,1,0,0,3830,211.0
22,168000,43,1.5,1,1,0,0,0,0,0,0,43.0,0,0,0,0,1,0,0,2124,
23,1550000,127,4.0,2,1,0,0,1,1,0,1,127.0,1,1,1,1,0,0,0,1286,0.0
24,1660000,159,4.0,2,2,0,0,2,2,0,1,159.0,0,1,1,1,0,0,1,2182,4.0
25,1600000,146,3.0,1,2,0,0,0,0,1,1,146.0,0,1,1,0,1,0,0,5784,2.0
26,724100,70,2.0,1,2,0,0,1,0,1,1,69.56,0,1,1,1,0,0,0,2942,3.0
27,1590000,107,4.0,2,2,0,0,1,0,0,1,106.77,1,1,1,0,0,0,0,2942,1.0
28,689571,93,,1,1,0,0,0,0,0,1,92.75,0,1,1,0,1,0,0,3309,
29,699900,128,3.0,1,1,0,0,0,0,0,1,127.52,0,0,0,0,1,0,0,3702,194.0
