PAY_AMT6,PAY_0,x1_graduate school,PAY_AMT1,x1_university,PAY_5,PAY_6,PAY_AMT3,x2_married,PAY_AMT2,LIMIT_BAL,PAY_AMT5,PAY_2,PAY_4,x0_male,PAY_AMT4,PAY_3,BILL_AMT2,BILL_AMT4
5000.0,0.0,1.0,5000.0,0.0,0.0,0.0,5000.0,1.0,5000.0,150000.0,5000.0,0.0,0.0,0.0,5000.0,0.0,99598.85,84891.20000000001
3100.0,0.0,1.0,4501.0,0.0,0.0,0.0,4505.0,0.0,4916.0,200000.0,4145.0,0.0,0.0,0.0,4205.0,0.0,99598.85,84891.20000000001
1000.0,0.0,0.0,2192.0,1.0,0.0,0.0,1005.0,0.0,2015.0,354000.0,1000.0,0.0,0.0,0.0,1009.0,0.0,12219.0,6384.0
1056.0,0.0,0.0,2000.0,1.0,0.0,0.0,1309.0,1.0,2500.0,330000.0,2027.0,0.0,0.0,0.0,1243.0,0.0,48906.0,50595.0
6344.5,0.0,1.0,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,80000.0,2500.0,0.0,0.0,0.0,3000.0,0.0,64685.0,65183.0
3000.0,0.6000000000000001,0.0,3251.0,1.0,0.0,0.0,2582.0,0.0,2600.0,100000.0,3000.0,0.0,0.0,1.0,3000.0,0.0,93354.0,71097.0
2000.0,0.0,0.0,3000.0,0.0,0.0,0.0,5000.0,1.0,7517.75,50000.0,2000.0,0.0,0.0,0.0,1500.0,0.0,38078.0,30490.0
0.0,0.0,0.0,2500.0,1.0,-2.0,-2.0,0.0,0.0,0.0,50000.0,0.0,0.0,-2.0,1.0,0.0,0.0,2524.0,0.0
6344.5,0.0,0.0,2174.0,1.0,0.0,0.0,296.0,1.0,1785.0,50000.0,444.0,0.0,0.0,0.0,306.0,0.0,46078.0,8261.0
6344.5,0.0,0.0,5000.0,1.0,0.0,-2.0,3000.0,1.0,1285.0,90000.0,0.0,0.0,0.0,0.0,1189.0,0.0,8545.0,11676.0
2000.0,-1.0,0.0,7408.0,0.0,0.0,0.0,2000.0,1.0,5000.0,170000.0,3000.0,0.0,0.0,1.0,2000.0,0.0,40441.0,34090.0
910.0,0.0,0.0,1473.0,1.0,0.0,0.0,856.0,1.0,1617.0,80000.0,828.0,0.0,0.0,0.0,672.0,0.0,24470.0,21053.0
700.0,0.0,0.0,3000.0,1.0,0.0,0.0,1900.0,1.0,2000.0,50000.0,1600.0,0.0,0.0,1.0,1004.0,0.0,49749.0,59469.0
1000.0,-2.0,0.0,1055.0,1.0,-2.0,-2.0,5549.0,1.0,7517.75,100000.0,1000.0,-2.0,-2.0,0.0,4973.0,-2.0,1055.0,5524.0
6344.5,0.0,1.0,7000.0,0.0,0.0,0.0,7021.200000000001,1.0,7000.0,280000.0,6299.450000000001,0.0,0.0,0.0,6248.400000000001,0.0,99598.85,84891.20000000001
3000.0,0.0,0.0,6018.0,1.0,0.0,0.0,3000.0,1.0,6029.0,210000.0,3000.0,0.0,0.0,0.0,3500.0,0.0,99598.85,84891.20000000001
1022.0,0.0,1.0,1976.0,0.0,0.0,0.0,1170.0,0.0,1564.0,50000.0,1052.0,0.0,0.0,1.0,1055.0,0.0,38492.0,29700.0
1207.0,-1.0,0.0,1207.0,1.0,-1.0,-1.0,1207.0,1.0,1207.0,280000.0,1207.0,-1.0,-1.0,1.0,1207.0,-1.0,1207.0,1207.0
2570.0,0.0,0.0,3768.0,1.0,0.0,0.0,2660.0,0.0,2699.0,70000.0,2568.0,0.0,0.0,1.0,2879.0,0.0,68768.0,69484.0
699.0,-1.0,1.0,580.0,0.0,-1.0,-1.0,580.0,1.0,580.0,200000.0,580.0,-1.0,-1.0,1.0,580.0,-1.0,580.0,580.0
2200.0,0.0,0.0,3439.0,1.0,0.0,0.0,4938.0,1.0,3237.0,70000.0,5000.0,0.0,0.0,1.0,1693.0,0.0,70480.0,69641.0
1576.0,-2.0,1.0,4756.0,0.0,-2.0,-2.0,4708.0,1.0,3496.0,240000.0,2407.0,-2.0,-2.0,0.0,1522.0,-2.0,4756.0,4708.0
0.0,0.0,1.0,4200.0,0.0,0.0,0.0,3307.0,0.0,4000.0,90000.0,6299.450000000001,0.0,0.0,0.0,3453.0,0.0,89080.0,84891.20000000001
0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,159.0,0.0,0.0,150000.0,509.0,-1.0,-1.0,1.0,6248.400000000001,-2.0,0.0,159.0
6344.5,0.6000000000000001,1.0,7408.0,0.0,0.0,0.0,2000.0,0.0,7517.75,354000.0,1000.0,-1.0,0.0,0.0,0.0,0.0,54490.0,84891.20000000001
700.0,0.0,0.0,7408.0,0.0,0.0,0.0,2000.0,1.0,1576.0,20000.0,1000.0,-1.0,0.0,1.0,600.0,0.0,19202.0,19493.0
2500.0,0.0,0.0,1800.0,0.0,0.0,0.0,1800.0,1.0,1800.0,50000.0,1990.0,0.0,0.0,1.0,1748.0,0.0,46272.0,48337.0
