,OpenPorchSF,x0_Y,x3_No,GarageArea,YearRemodAdd,TotRmsAbvGrd,x4_SBrkr,x1_2fmCon,x9_BrkTil,x2_2Story,x3_Gd,x9_PConc,x6_CulDSac,x2_1.5Fin,LotFrontage_median,WoodDeckSF,x6_Inside,isNew,x1_Twnhs,FullBath,x5_Grav,LotArea,x12_MnPrv,HalfBath,x12_GdWo,firstFlrSF,x3_Av,hasGarage,Fireplaces,x4_FuseF,BsmtFullBath
1,35.0,1.0,1.0,540.0,4,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.0,100.0,0.0,True,0.0,2,0.0,8633.0,0.0,1,0.0,738.0,0.0,True,0.0,0.0,1
2,112.0,1.0,0.0,728.05,11,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,0.0,1.0,False,0.0,2,0.0,13923.6,0.0,1,0.0,1310.0,0.0,True,1.0,0.0,1
3,0.0,1.0,0.0,384.0,39,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,68.0,1.0,False,0.0,2,0.0,9750.0,0.0,0,0.0,980.0,1.0,True,0.0,0.0,0
4,112.0,1.0,1.0,480.0,1,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,True,0.0,2,0.0,3180.0,0.0,1,0.0,520.0,0.0,True,0.0,0.0,0
6,33.0,1.0,0.0,728.05,2,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,160.0,0.0,True,0.0,2,0.0,10475.0,0.0,0,0.0,1692.3000000000002,1.0,True,0.0,0.0,0
7,25.0,1.0,1.0,392.0,15,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,100.0,1.0,False,0.0,2,0.0,9125.0,0.0,1,0.0,812.0,0.0,True,1.0,0.0,0
8,21.0,1.0,0.0,528.0,3,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0,0.0,False,0.0,2,0.0,10768.0,0.0,0,0.0,1437.0,0.0,True,1.0,0.0,1
10,110.0,1.0,1.0,572.0,20,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,216.0,0.0,False,0.0,1,0.0,13923.6,0.0,0,0.0,1429.0,0.0,True,1.6,0.0,0
11,65.0,1.0,1.0,271.0,2,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,False,0.0,1,0.0,8544.0,1.0,1,0.0,1228.0,0.0,True,0.0,0.0,0
12,0.0,0.0,1.0,0.0,58,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,False,0.0,1,0.0,5604.0,0.0,0,0.0,864.0,0.0,False,0.0,0.0,1
