,PAY_AMT1,EDUCATION_graduate school,PAY_5,LIMIT_BAL,PAY_AMT4,PAY_0,SEX_female,PAY_3,PAY_AMT6,MARRIAGE_single,PAY_6,PAY_4,PAY_AMT3,BILL_AMT3,PAY_AMT5,AGE_median,EDUCATION_university,PAY_AMT2,PAY_2
0,5000.0,1.0,0.0,150000.0,5000.0,0.0,1.0,0.0,5000.0,0.0,0.0,0.0,5000.0,93680.95000000001,5000.0,46.0,0.0,5000.0,0.0
1,4501.0,1.0,0.0,200000.0,4205.0,0.0,1.0,0.0,3100.0,1.0,0.0,0.0,4505.0,93680.95000000001,4145.0,44.0,0.0,4916.0,0.0
2,2192.0,0.0,0.0,354000.0,1009.0,0.0,1.0,0.0,1000.0,1.0,0.0,0.0,1005.0,9861.0,1000.0,28.0,1.0,2015.0,0.0
3,2000.0,0.0,0.0,330000.0,1243.0,0.0,1.0,0.0,1056.0,0.0,0.0,0.0,1309.0,50531.0,2027.0,45.0,1.0,2500.0,0.0
4,0.0,0.0,-1.0,50000.0,6248.400000000001,0.0,1.0,-2.0,792.0,0.0,0.0,-2.0,0.0,0.0,1000.0,48.8,0.0,0.0,0.0
5,3000.0,1.0,0.0,80000.0,3000.0,0.0,1.0,0.0,6344.5,1.0,0.0,0.0,3000.0,64956.0,2500.0,29.0,0.0,3000.0,0.0
6,3251.0,0.0,0.0,100000.0,3000.0,0.6000000000000001,0.0,0.0,3000.0,1.0,0.0,0.0,2582.0,69674.0,3000.0,35.0,1.0,2600.0,0.0
7,3000.0,0.0,0.0,50000.0,1500.0,0.0,1.0,0.0,2000.0,0.0,0.0,0.0,5000.0,36766.0,2000.0,48.8,0.0,7517.75,0.0
8,2500.0,0.0,-2.0,50000.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0
9,2174.0,0.0,0.0,50000.0,306.0,0.0,1.0,0.0,6344.5,0.0,0.0,0.0,296.0,46689.0,444.0,36.0,1.0,1785.0,0.0
10,5000.0,0.0,0.0,90000.0,1189.0,0.0,1.0,0.0,6344.5,0.0,-2.0,0.0,3000.0,8961.0,0.0,33.0,1.0,1285.0,0.0
11,7408.0,0.0,0.0,170000.0,2000.0,-1.0,0.0,0.0,2000.0,0.0,0.0,0.0,2000.0,40937.0,3000.0,45.0,0.0,5000.0,0.0
12,1473.0,0.0,0.0,80000.0,672.0,0.0,1.0,0.0,910.0,0.0,0.0,0.0,856.0,25614.0,828.0,44.0,1.0,1617.0,0.0
13,3000.0,0.0,0.0,50000.0,1004.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,1900.0,48589.0,1600.0,48.8,1.0,2000.0,0.0
14,1055.0,0.0,-2.0,100000.0,4973.0,-2.0,1.0,-2.0,1000.0,0.0,-2.0,-2.0,5549.0,8090.0,1000.0,42.0,1.0,7517.75,-2.0
15,7000.0,1.0,0.0,280000.0,6248.400000000001,0.0,1.0,0.0,6344.5,0.0,0.0,0.0,7021.200000000001,93680.95000000001,6299.450000000001,35.0,0.0,7000.0,0.0
16,6018.0,0.0,0.0,210000.0,3500.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,3000.0,93680.95000000001,3000.0,34.0,1.0,6029.0,0.0
17,1976.0,1.0,0.0,50000.0,1055.0,0.0,0.0,0.0,1022.0,1.0,0.0,0.0,1170.0,36453.0,1052.0,37.0,0.0,1564.0,0.0
18,1207.0,0.0,-1.0,280000.0,1207.0,-1.0,0.0,-1.0,1207.0,0.0,-1.0,-1.0,1207.0,1207.0,1207.0,45.0,1.0,1207.0,-1.0
19,3768.0,0.0,0.0,70000.0,2879.0,0.0,0.0,0.0,2570.0,1.0,0.0,0.0,2660.0,69699.0,2568.0,42.0,1.0,2699.0,0.0
20,580.0,1.0,-1.0,200000.0,580.0,-1.0,0.0,-1.0,699.0,0.0,-1.0,-1.0,580.0,580.0,580.0,41.0,0.0,580.0,-1.0
21,3439.0,0.0,0.0,70000.0,1693.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,4938.0,66646.0,5000.0,35.0,1.0,3237.0,0.0
22,4756.0,1.0,-2.0,240000.0,1522.0,-2.0,1.0,-2.0,1576.0,0.0,-2.0,-2.0,4708.0,3496.0,2407.0,44.0,0.0,3496.0,-2.0
23,4200.0,1.0,0.0,90000.0,3453.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3307.0,89613.0,6299.450000000001,29.0,0.0,4000.0,0.0
24,0.0,0.0,-1.0,150000.0,6248.400000000001,-1.0,0.0,-2.0,0.0,1.0,-1.0,-1.0,159.0,0.0,509.0,45.0,1.0,0.0,-1.0
25,7408.0,1.0,0.0,354000.0,0.0,0.6000000000000001,1.0,0.0,6344.5,1.0,0.0,0.0,2000.0,93680.95000000001,1000.0,31.0,0.0,7517.75,-1.0
26,7408.0,0.0,0.0,20000.0,600.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,2000.0,20459.0,1000.0,37.0,0.0,1576.0,-1.0
27,1800.0,0.0,0.0,50000.0,1748.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,1800.0,47330.0,1990.0,42.0,0.0,1800.0,0.0
28,1000.0,0.0,0.0,20000.0,1000.0,0.6000000000000001,0.0,0.6000000000000001,700.0,1.0,0.0,0.6000000000000001,1000.0,14475.0,1000.0,31.0,1.0,1000.0,0.6000000000000001
29,1479.0,1.0,0.0,30000.0,4710.0,-1.0,1.0,-1.0,6344.5,1.0,0.0,0.0,0.0,18860.0,0.0,24.0,0.0,7517.75,-1.0
30,3383.0,1.0,0.6000000000000001,30000.0,0.0,0.0,1.0,0.6000000000000001,2300.0,1.0,0.6000000000000001,0.6000000000000001,6380.0,23130.0,0.0,23.0,0.0,0.0,0.0
31,3627.0,1.0,0.0,354000.0,2331.0,0.0,1.0,0.0,1645.0,0.0,0.0,0.0,2670.0,93680.95000000001,2406.0,38.0,0.0,3059.0,0.0
32,3092.0,1.0,0.0,200000.0,5627.0,0.0,0.0,0.0,2741.0,1.0,0.6000000000000001,0.0,7021.200000000001,51023.0,0.0,28.0,0.0,7517.75,0.0
33,7408.0,1.0,-2.0,200000.0,6248.400000000001,-2.0,1.0,-2.0,6344.5,0.0,-2.0,-2.0,7021.200000000001,3009.0,5696.0,32.0,0.0,3009.0,-2.0
34,3000.0,0.0,0.0,90000.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,36230.0,1100.0,28.0,1.0,2500.0,0.0
35,7408.0,1.0,-1.0,230000.0,4674.0,-1.0,1.0,-1.0,1814.0,1.0,-1.0,-1.0,1344.0,713.0,6299.450000000001,32.0,0.0,720.0,0.0
36,2000.0,0.0,0.0,30000.0,920.0,0.6000000000000001,1.0,0.0,2000.0,1.0,0.0,0.0,888.0,24630.0,1000.0,23.0,1.0,2000.0,0.0
37,7408.0,0.0,-1.0,280000.0,6248.400000000001,-1.0,1.0,-1.0,6344.5,0.0,-1.0,-1.0,1074.0,570.0,6299.450000000001,48.8,1.0,570.0,-1.0
38,7408.0,0.0,0.0,290000.0,6248.400000000001,0.0,1.0,0.0,6344.5,1.0,0.0,0.0,7021.200000000001,93680.95000000001,6299.450000000001,41.0,1.0,5620.0,0.0
39,1518.0,0.0,-1.0,230000.0,1613.0,-1.0,1.0,-1.0,752.0,0.0,-1.0,-1.0,368.0,1958.0,1371.0,46.0,1.0,1972.0,-1.0
40,2100.0,0.0,0.0,100000.0,2000.0,0.6000000000000001,0.0,0.6000000000000001,0.0,1.0,0.6000000000000001,0.0,2000.0,36537.0,1000.0,31.0,1.0,0.0,0.6000000000000001
41,1900.0,0.0,0.0,60000.0,1100.0,0.0,1.0,0.0,420.0,1.0,0.0,0.0,1000.0,28937.0,1000.0,29.0,1.0,1400.0,0.0
42,2000.0,0.0,-1.0,80000.0,6248.400000000001,0.0,0.0,-1.0,2000.0,0.0,0.0,-1.0,500.0,317.0,3000.0,29.0,1.0,450.0,0.0
43,0.0,1.0,0.6000000000000001,220000.0,0.0,0.6000000000000001,1.0,0.6000000000000001,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,2500.0,0.0,42.0,0.0,0.0,0.6000000000000001
44,0.0,0.0,-2.0,100000.0,0.0,-2.0,1.0,-2.0,0.0,0.0,-2.0,-2.0,7021.200000000001,0.0,0.0,39.0,1.0,0.0,-2.0
45,0.0,0.0,-2.0,354000.0,0.0,0.6000000000000001,0.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,48.8,1.0,0.0,-2.0
46,0.0,1.0,-2.0,240000.0,0.0,0.6000000000000001,1.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,38.0,0.0,7517.75,-2.0
47,0.0,0.0,-2.0,120000.0,0.0,-1.0,1.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,37.0,1.0,0.0,-1.0
48,4000.0,1.0,0.0,80000.0,3000.0,0.0,1.0,0.0,3000.0,1.0,0.0,0.0,2800.0,74807.0,3000.0,32.0,0.0,3000.0,0.0
50,7408.0,0.0,-1.0,250000.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,7021.200000000001,23850.0,6299.450000000001,38.0,1.0,7517.75,-1.0
51,7408.0,0.0,0.0,290000.0,6248.400000000001,0.0,1.0,0.0,6344.5,1.0,0.0,0.0,6100.0,93680.95000000001,6299.450000000001,24.0,1.0,6500.0,0.0
52,1000.0,0.0,-2.0,50000.0,0.0,0.0,0.0,0.0,6344.5,0.0,-1.0,-2.0,0.0,0.0,402.0,41.0,1.0,402.0,0.0
53,2686.0,1.0,-1.0,354000.0,3797.0,0.6000000000000001,1.0,-1.0,4302.0,0.0,-1.0,-1.0,3004.0,6244.0,3103.0,45.0,0.0,6500.0,-1.0
54,780.0,0.0,-1.0,50000.0,390.0,-1.0,0.0,0.6000000000000001,0.0,1.0,-1.0,0.6000000000000001,0.0,780.0,1320.0,30.0,1.0,0.0,-1.0
