,Electrical_SBrkr,WoodDeckSF,RemodAge,LotConfig_CulDSac,LotArea,Foundation_PConc,BsmtExposure_Gd,OpenPorchSF,OverallQual,Fence_GdWo,Foundation_BrkTil,Electrical_FuseF,LotFrontage_median,BedroomAbvGr,FullBath,firstFlrSF,HouseStyle_2Story,LotConfig_Inside,hasGarage,BsmtExposure_No,BldgType_Twnhs,HalfBath,BsmtFullBath,CentralAir_Y,Heating_Grav,Fence_MnPrv,HouseStyle_1.5Fin,BldgType_2fmCon,Fireplaces,GarageArea,BsmtExposure_Av
1,1.0,100.0,4,0.0,8633.0,1.0,0.0,35.0,6,0.0,0.0,0.0,64.0,3.0,2,738.0,1.0,0.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0
2,1.0,0.0,11,0.0,13923.6,1.0,0.0,112.0,8,0.0,0.0,0.0,70.0,3.0,2,1310.0,1.0,1.0,True,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
3,1.0,68.0,39,0.0,9750.0,1.0,0.0,0.0,5,0.0,0.0,0.0,75.0,3.0,2,980.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,384.0,1.0
4,1.0,0.0,1,0.0,3180.0,1.0,0.0,112.0,7,0.0,0.0,0.0,30.0,2.0,2,520.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0
6,1.0,160.0,2,0.0,10475.0,1.0,0.0,33.0,8,0.0,0.0,0.0,64.0,3.0,2,1692.3000000000002,0.0,0.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,728.05,1.0
7,1.0,100.0,15,0.0,9125.0,1.0,0.0,25.0,7,0.0,0.0,0.0,70.0,3.0,2,812.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,392.0,0.0
8,1.0,0.0,3,0.0,10768.0,0.0,1.0,21.0,5,0.0,0.0,0.0,90.0,3.0,2,1437.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,528.0,0.0
10,1.0,216.0,20,1.0,13923.6,0.0,0.0,110.0,6,0.0,0.0,0.0,70.0,3.0,1,1429.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.6,572.0,0.0
11,1.0,0.0,2,1.0,8544.0,0.0,0.0,65.0,5,0.0,0.0,0.0,70.0,3.0,1,1228.0,0.0,0.0,True,1.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,271.0,0.0
12,0.0,0.0,58,0.0,5604.0,0.0,0.0,0.0,5,0.0,0.0,0.0,67.0,2.0,1,864.0,0.0,1.0,False,1.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,192.0,3,0.0,8500.0,1.0,0.0,60.0,7,0.0,0.0,0.0,63.0,3.0,2,1422.0,0.0,0.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,626.0,1.0
14,1.0,168.0,18,1.0,9947.0,1.0,0.0,27.0,7,0.0,0.0,0.0,70.0,3.0,2,1217.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,497.0,1.0
15,1.0,0.0,8,0.0,9452.0,1.0,0.0,70.0,8,0.0,0.0,0.0,82.0,3.0,2,1407.0,1.0,1.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
16,1.0,0.0,12,0.0,8750.0,1.0,0.0,77.0,6,0.0,0.0,0.0,70.0,3.0,2,804.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0
17,1.0,0.0,56,0.0,4712.0,0.0,0.0,57.0,4,0.0,0.0,0.0,51.0,3.0,1,774.0,0.0,1.0,True,1.0,0.0,1,1,1.0,0.0,1.0,1.0,0.0,0.0,305.0,0.0
18,1.0,0.0,10,0.0,5586.0,0.0,0.0,98.0,6,0.0,1.0,0.0,60.0,3.6,1,1088.0,0.0,1.0,False,1.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,1.0,178.0,4,0.0,6931.0,1.0,0.0,112.0,7,0.0,0.0,0.0,60.0,3.0,2,760.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,397.0,0.0
20,1.0,0.0,59,0.0,7500.0,0.0,0.0,0.0,6,0.0,0.0,0.0,70.0,3.0,1,753.0,1.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.6,213.0,0.0
21,0.0,0.0,58,0.0,8712.0,0.0,0.0,0.0,5,0.0,0.0,0.0,66.0,2.0,1,1044.0,0.0,1.0,True,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,1.0
22,1.0,273.6,54,0.0,13284.0,1.0,0.0,112.0,5,0.0,0.0,0.0,70.0,3.0,1,1383.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,354.0,0.0
24,1.0,0.0,7,0.0,7917.0,1.0,0.0,40.0,6,0.0,0.0,0.0,62.0,3.0,2,953.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,460.0,0.0
25,1.0,0.0,15,0.0,7837.0,1.0,0.0,40.0,6,0.0,0.0,0.0,59.0,3.0,2,799.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,380.0,0.0
