LotFrontage,LotArea,Alley,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,isNew,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,firstFlrSF,secondFlrSF,GrLivArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,hasGarage,GarageArea,GarageCond,WoodDeckSF,Nr.Ring,OpenPorchSF,PoolQC,Fence,MiscFeature,MoSold,YrSold,SalePrice
65.0,8450,,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,True,2003,Gable,CompShg,Gd,TA,PConc,856,GasA,Ex,Y,SBrkr,856,854,1710,Gd,TA,No,1,2,1,3,Gd,8,0,,2,True,548,TA,0,2,61,,,,2,2008,208500
80.0,9600,,FR2,Gtl,Veenker,1Fam,1Story,6,8,1976,False,1976,Gable,CompShg,TA,TA,CBlock,1262,GasA,Ex,Y,SBrkr,1262,0,1262,Gd,TA,Gd,0,2,0,3,TA,6,1,TA,2,True,460,TA,298,2,0,,,,5,2007,181500
68.0,11250,,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,True,2002,Gable,CompShg,Gd,TA,PConc,920,GasA,Ex,Y,SBrkr,920,866,1786,Gd,TA,Mn,1,2,1,3,Gd,6,1,TA,2,True,608,TA,0,2,42,,,,9,2008,223500
60.0,9550,,Corner,Gtl,Crawfor,1Fam,2Story,7,5,1915,False,1970,Gable,CompShg,TA,TA,BrkTil,756,GasA,Gd,Y,SBrkr,961,756,1717,TA,Gd,No,1,1,0,3,Gd,7,1,Gd,3,True,642,TA,0,2,35,,,,2,2006,140000
84.0,14260,,FR2,Gtl,NoRidge,1Fam,2Story,8,5,2000,False,2000,Gable,CompShg,Gd,TA,PConc,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,Gd,TA,Av,1,2,1,4,Gd,9,1,TA,3,True,836,TA,192,2,84,,,,12,2008,250000
85.0,14115,,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,5,1993,False,1995,Gable,CompShg,TA,TA,Wood,796,GasA,Ex,Y,SBrkr,796,566,1362,Gd,TA,No,1,1,1,1,TA,5,0,,2,True,480,TA,40,2,30,,MnPrv,Shed,10,2009,143000
75.0,10084,,Inside,Gtl,Somerst,1Fam,1Story,8,5,2004,True,2005,Gable,CompShg,Gd,TA,PConc,1686,GasA,Ex,Y,SBrkr,1694,0,1694,Ex,TA,Av,1,2,0,3,Gd,7,1,Gd,2,True,636,TA,255,2,57,,,,8,2007,307000
,10382,,Corner,Gtl,NWAmes,1Fam,2Story,7,6,1973,False,1973,Gable,CompShg,TA,TA,CBlock,1107,GasA,Ex,Y,SBrkr,1107,983,2090,Gd,TA,Mn,1,2,1,3,TA,7,2,TA,2,True,484,TA,235,2,204,,,Shed,11,2009,200000
51.0,6120,,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,1931,False,1950,Gable,CompShg,TA,TA,BrkTil,952,GasA,Gd,Y,FuseF,1022,752,1774,TA,TA,No,0,2,0,2,TA,8,2,TA,2,True,468,TA,90,2,0,,,,4,2008,129900
50.0,7420,,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,6,1939,False,1950,Gable,CompShg,TA,TA,BrkTil,991,GasA,Ex,Y,SBrkr,1077,0,1077,TA,TA,No,1,1,0,2,TA,5,2,TA,1,True,205,TA,0,2,4,,,,1,2008,118000
